OrderDate,Region,Rep,Item,Units,UnitCost,Total
1/6/21,East,Jones,Pencil,95,1.99,189.05
1/23/21,Central,Kivell,Binder,50,19.99,999.50
2/9/21,Central,Jardine,Pencil,36,4.99,179.64
2/26/21,Central,Gill,Pen,27,19.99,539.73
3/15/21,West,Sorvino,Pencil,56,2.99,167.44
4/1/21,East,Jones,Binder,60,4.99,299.40
4/18/21,Central,Andrews,Pencil,75,1.99,149.25
5/5/21,Central,Jardine,Pencil,90,4.99,449.10
5/22/21,West,Thompson,Pencil,32,1.99,63.68
6/8/21,East,Jones,Binder,60,8.99,539.40
6/25/21,Central,Morgan,Pencil,90,4.99,449.10
7/12/21,East,Howard,Binder,29,1.99,57.71
7/29/21,East,Parent,Binder,81,19.99,1619.19
8/15/21,East,Jones,Pencil,35,4.99,174.65
9/1/21,Central,Smith,Desk,2,125.00,250.00
